timeindex,electricity-buying
2017-01-01 00:00:00,140.96
2017-01-01 01:00:00,140.9
2017-01-01 02:00:00,138.13
2017-01-01 03:00:00,136.03
2017-01-01 04:00:00,136.43
2017-01-01 05:00:00,133.75
2017-01-01 06:00:00,131.1
2017-01-01 07:00:00,135.47
2017-01-01 08:00:00,136.88
2017-01-01 09:00:00,141.81
2017-01-01 10:00:00,146.24
2017-01-01 11:00:00,146.42000000000002
2017-01-01 12:00:00,147.66
2017-01-01 13:00:00,148.7
2017-01-01 14:00:00,149.66
2017-01-01 15:00:00,155.32999999999998
2017-01-01 16:00:00,164.12
2017-01-01 17:00:00,171.59
2017-01-01 18:00:00,173.95
2017-01-01 19:00:00,170.97
2017-01-01 20:00:00,164.93
2017-01-01 21:00:00,158.82999999999998
2017-01-01 22:00:00,162.17000000000002
2017-01-01 23:00:00,153.06
2017-01-02 00:00:00,150.54
2017-01-02 01:00:00,148.91
2017-01-02 02:00:00,148.11
2017-01-02 03:00:00,147.89
2017-01-02 04:00:00,147.73
2017-01-02 05:00:00,151.18
2017-01-02 06:00:00,157.99
2017-01-02 07:00:00,170.98
2017-01-02 08:00:00,173.88
2017-01-02 09:00:00,173.94
2017-01-02 10:00:00,173.54
2017-01-02 11:00:00,174.91
2017-01-02 12:00:00,174.07999999999998
2017-01-02 13:00:00,175.67000000000002
2017-01-02 14:00:00,175.98
2017-01-02 15:00:00,176.0
2017-01-02 16:00:00,177.77
2017-01-02 17:00:00,187.66
2017-01-02 18:00:00,175.1
2017-01-02 19:00:00,173.92000000000002
2017-01-02 20:00:00,169.07
2017-01-02 21:00:00,160.25
2017-01-02 22:00:00,165.92000000000002
2017-01-02 23:00:00,158.88
2017-01-03 00:00:00,156.02
2017-01-03 01:00:00,154.98
2017-01-03 02:00:00,153.64
2017-01-03 03:00:00,153.89
2017-01-03 04:00:00,153.5
2017-01-03 05:00:00,153.91
2017-01-03 06:00:00,168.13
2017-01-03 07:00:00,174.61
2017-01-03 08:00:00,177.93
2017-01-03 09:00:00,177.18
2017-01-03 10:00:00,172.27
2017-01-03 11:00:00,169.94
2017-01-03 12:00:00,166.3
2017-01-03 13:00:00,161.51
2017-01-03 14:00:00,157.07999999999998
2017-01-03 15:00:00,157.03
2017-01-03 16:00:00,159.07999999999998
2017-01-03 17:00:00,162.14
2017-01-03 18:00:00,156.67000000000002
