name,var_name,var_unit,var_value,reference,ok?
heat_decentral-storage,fix_om,share of overnight cost,0.0086,DanishEnergyAgency2018a ,
electricity-respth,fix_om,share of overnight cost,0.0073,DanishEnergyAgency2018,
electricity-hp,fix_om,share of overnight cost,0.01,Gerhardt2015a,
heat_decentral-storage,lifetime,a,40,DanishEnergyAgency2018a ,
electricity-respth,lifetime,a,20,DanishEnergyAgency2018,
electricity-hp,lifetime,a,25,Brown2018,
heat_decentral-storage,overnight_cost,Eur/MWh,14320,"DanishEnergyAgency2018,  Christidis2018a",
electricity-respth,overnight_cost,Eur/MW,150000,DanishEnergyAgency2018,
electricity-hp,overnight_cost,Eur/MW,700000,DanishEnergyAgency2018,
all,wacc,share,0.052,Dunkelberg2018,
heat_central-storage,fix_om,share of overnight cost,0.0086,DanishEnergyAgency2018a ,
heat_central-storage,lifetime,a,40,DanishEnergyAgency2018a ,
heat_central-storage,overnight_cost,Eur/MWh,2864,"DanishEnergyAgency2018,  Christidis2018a",
